t_seg,temp_C,setpoint_C,duty_%,estado,P,I,D
0.0,29.50,0.0,0.0,Reposo,0.0000,0.0000,0.0000
2.8,29.50,0.0,0.0,Reposo,0.0000,0.0000,0.0000
5.6,29.50,0.0,0.0,Reposo,0.0000,0.0000,0.0000
8.4,29.50,0.0,0.0,Reposo,0.0000,0.0000,0.0000
11.2,29.50,0.0,0.0,Reposo,0.0000,0.0000,0.0000
13.9,29.50,0.0,0.0,Reposo,0.0000,0.0000,0.0000
16.7,29.50,0.0,0.0,Reposo,0.0000,0.0000,0.0000
19.5,29.44,0.0,0.0,Reposo,0.0000,0.0000,0.0000
22.3,29.44,0.0,0.0,Reposo,0.0000,0.0000,0.0000
25.1,29.44,0.0,0.0,Reposo,0.0000,0.0000,0.0000
27.9,29.44,0.0,0.0,Reposo,0.0000,0.0000,0.0000
30.7,29.44,0.0,0.0,Reposo,0.0000,0.0000,0.0000
33.5,29.44,0.0,0.0,Reposo,0.0000,0.0000,0.0000
36.3,29.38,0.0,0.0,Reposo,0.0000,0.0000,0.0000
39.1,29.38,0.0,0.0,Reposo,0.0000,0.0000,0.0000
41.9,29.38,0.0,0.0,Reposo,0.0000,0.0000,0.0000
44.6,29.38,0.0,0.0,Reposo,0.0000,0.0000,0.0000
47.4,29.38,0.0,0.0,Reposo,0.0000,0.0000,0.0000
50.2,29.38,0.0,0.0,Reposo,0.0000,0.0000,0.0000
53.0,29.38,0.0,0.0,Reposo,0.0000,0.0000,0.0000
55.8,29.38,0.0,0.0,Reposo,0.0000,0.0000,0.0000
58.6,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
61.4,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
64.2,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
67.0,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
69.8,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
72.5,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
75.3,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
78.1,29.25,0.0,0.0,Reposo,0.0000,0.0000,0.0000
80.9,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
83.7,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
86.5,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
89.3,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
92.1,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
94.9,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
97.7,29.31,0.0,0.0,Reposo,0.0000,0.0000,0.0000
100.4,29.25,0.0,0.0,Reposo,0.0000,0.0000,0.0000
103.4,29.25,65.0,90.0,Precalent.,1.7875,0.2145,0.0000
106.4,29.25,65.0,0.0,Fin ciclo,1.7875,0.2145,0.0000
109.2,29.25,65.0,0.0,Fin ciclo,1.7875,0.2145,0.0000
